Categoria,Gancho,Quando Usar
Curiosidade/Segredo,O que NINGUÉM te conta sobre [tema]...,"Educação, revelação"
Curiosidade/Segredo,Esse segredo mudou TUDO para mim,"Transformação, resultado"
Curiosidade/Segredo,Você não vai acreditar no que descobri,"Surpresa, revelação"
Curiosidade/Segredo,Por que ninguém fala sobre isso?,"Polêmica leve, discussão"
Curiosidade/Segredo,A verdade que escondem de você,"Revelação, mito vs verdade"
Urgência/Alerta,PARE de fazer isso AGORA,Correção de erro comum
Urgência/Alerta,"Se você faz isso, ESTÁ ERRANDO","Alerta, correção"
Urgência/Alerta,Você está fazendo isso ERRADO (e eu vou te mostrar),"Tutorial, correção"
Urgência/Alerta,Último aviso: não faça mais isso,"Urgência, importância"
Urgência/Alerta,"Se continuar assim, NUNCA vai conseguir [resultado]","Motivação, solução"
Transformação/Resultado,Como eu fui de [antes] para [depois],Jornada pessoal
Transformação/Resultado,Isso mudou minha vida em [X dias/meses],"Resultado, prova social"
Transformação/Resultado,Olha só o que [X dias] fizeram...,Transformação visual
Transformação/Resultado,Antes eu era assim... Hoje sou assim,"Evolução, inspiração"
Transformação/Resultado,A transformação que você precisa ver,"Motivação, prova"
Identificação/Empatia,"Se você também é assim, me segue","Conexão, comunidade"
Identificação/Empatia,Quem nunca passou por isso?,"Identificação, empatia"
Identificação/Empatia,Eu pensei que era só EU...,"Vulnerabilidade, conexão"
Identificação/Empatia,Você também se sente assim às vezes?,"Emoção, identificação"
Identificação/Empatia,Se identifica? Então esse perfil é pra você,"Comunidade, pertencimento"
Lista/Número,3 coisas que NINGUÉM te conta,"Educação, revelação"
Lista/Número,5 erros que TODO MUNDO comete,"Educação, correção"
Lista/Número,7 sinais de que você precisa [ação],"Checklist, diagnóstico"
Lista/Número,Os 3 segredos de [resultado],"Tutorial, método"
Lista/Número,10 coisas que eu faria diferente,"Aprendizado, dica"
Desafio/Ação,Você tem CORAGEM de tentar?,"Provocação, desafio"
Desafio/Ação,Faz isso HOJE e me conta o resultado,"Ação imediata, teste"
Desafio/Ação,Testa isso e me agradeça depois,"Confiança, dica valiosa"
Desafio/Ação,"Se fizer isso, sua vida muda","Promessa, resultado"
Desafio/Ação,Grave esse vídeo EXATAMENTE assim,"Tutorial, replicação"
Comparação/Vs,Você faz assim OU assim?,"Escolha, identificação"
Comparação/Vs,O jeito CERTO vs o jeito ERRADO,"Educação, comparação"
Comparação/Vs,Antes eu fazia assim... Hoje faço ASSIM,"Evolução, aprendizado"
Comparação/Vs,"Rico faz assim, pobre faz assim (adaptar ao nicho)","Polêmica, discussão"
Comparação/Vs,Profissional vs Amador,"Comparação, aspiração"
História/Storytelling,Deixa eu te contar uma história...,"Storytelling, conexão"
História/Storytelling,Eu nunca vou esquecer o dia que...,"História pessoal, lição"
História/Storytelling,Era uma vez... (no meu caso foi assim),"Narrativa, jornada"
História/Storytelling,Lembro como se fosse hoje...,"Memória, emoção"
História/Storytelling,A história que mudou tudo,"Transformação, inspiração"
Pergunta/Reflexão,Você já parou pra pensar nisso?,"Reflexão, profundidade"
Pergunta/Reflexão,Por que [situação] acontece?,"Explicação, educação"
Pergunta/Reflexão,Qual o seu maior desafio com [tema]?,"Pesquisa, conexão"
Pergunta/Reflexão,Me responde com sinceridade...,"Intimidade, conexão"
Pergunta/Reflexão,"Se pudesse voltar no tempo, você...?","Reflexão, arrependimento"
Autoridade/Prova,Depois de [X anos/meses] fazendo isso...,"Experiência, autoridade"
Autoridade/Prova,Testei TUDO e só isso funcionou,"Prova, método validado"
Autoridade/Prova,A ciência comprova: [afirmação],"Embasamento, educação"
Autoridade/Prova,Isso que vou te contar NINGUÉM sabe,"Exclusividade, autoridade"
Autoridade/Prova,"Como profissional, eu te garanto...","Credibilidade, confiança"
