Tipo de Vídeo,Cenário Ideal,Iluminação,Equipamento,Ângulo da Câmera,Formato Vídeo,Duração Recomendada,Dicas Extras
Reel Transformação,Luz natural (janela) + fundo neutro/clean,Ring light ou janela lateral (10h-15h),Celular com tripé + ring light 10' ou 12',Altura dos olhos ou ligeiramente acima (5-10cm),9:16 vertical,10-15 seg,Transição suave (dissolve) entre antes/depois
Reel Autocuidado/Espelho,Espelho com boa iluminação frontal + ambiente organizado,Ring light frontal + luz ambiente,Celular na mão ou tripé pequeno,Frontal na altura do rosto,9:16 vertical,10-13 seg,"Mostrar gesto natural (ajeitar cabelo, sorriso)"
Reel Reflexão/Externo,Área externa com luz dourada (fim de tarde) ou sombra clara,Golden hour (16h-18h) ou luz difusa (nublado),Celular com tripé alto + estabilizador (opcional),Altura dos olhos ou ligeiramente abaixo (dramático),9:16 vertical,12-18 seg,"Movimento lento (caminhada, vento no cabelo)"
Reel Tutorial,Mesa ou bancada com produtos visíveis + fundo clean,Ring light + luz de cima para evitar sombras nos produtos,Celular com tripé de mesa,Top-down (90°) ou 45° frontal,9:16 vertical ou 1:1,15-25 seg,Hands-on: mostrar AS MÃOS fazendo o processo
Reel Storytelling,"Ambiente aconchegante (sofá, poltrona) + luz suave",Luz suave indireta (abajur ou janela com cortina),Celular com tripé + microfone de lapela (opcional),Altura dos olhos (conversacional),9:16 vertical,18-30 seg,Olhar para a câmera (intimidade) + pausas dramáticas
Reel Tendência/Dança,"Parede lisa neutra (branca, bege) com iluminação uniforme",Ring light ou softbox frontal + luz de fundo,Celular com tripé + controle remoto,Centralizado na altura do peito,9:16 vertical,7-15 seg,Sincronia perfeita com o áudio (marcar batidas)
Stories Rotina,"Ambiente real (quarto, cozinha) + luz natural",Luz natural sem necessidade de extra,Celular na mão,Natural (altura dos olhos),9:16 vertical,3-7 seg cada card,"Movimento natural, sem encenação"
Stories Tutorial,Close-up com luz direta + fundo desfocado,Ring light próxima ou luz natural forte,Celular com tripé de mesa ou apoio,Close (45° frontal ou top-down),9:16 vertical,5-10 seg cada card,"Foco no processo, não no rosto"
Carrossel Educativo,Mesa ou prancheta + luz lateral para evitar sombra,Luz uniforme (overhead ou janela lateral),Celular para fotos ou scanner de documentos,90° de cima (flat lay),1:1 quadrado ou 4:5,5-7 slides,Espaço para texto (1/3 superior livre)
Reel Antes/Depois,Mesmo cenário para antes/depois + mesma luz e ângulo,Mesma iluminação nos 2 momentos (crucial!),Celular com tripé FIXO (não mover!),EXATAMENTE o mesmo ângulo e distância,9:16 vertical,8-12 seg,"Mesma roupa, mesmo horário, mesmo local"
